index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
168,🇨🇿,Eliska Brezinova 78,0,3,0,0,0,124.84n=3,57.75n=3,56.36n=3,69.15n=3,2.34n=38,2.80n=19,2.94n=6,3.07n=3,5.86n=6,5.63n=6,6.03n=6
169,🇸🇪,Alexandra Odman 230,2,0,0,0,0,124.66n=2,67.12n=2,63.62n=2,63.53n=2,4.03n=20,2.90n=12,2.56n=2,3.40n=2,5.19n=4,5.27n=4,5.20n=4
170,🇿🇦,Gian-Quen Isaacs 236,0,2,0,0,0,124.48n=2,67.78n=2,63.96n=2,63.02n=2,3.85n=20,2.70n=12,2.92n=4,3.45n=2,5.39n=4,5.35n=4,5.29n=4
171,🇦🇹,Flora Marie Schaller 140,2,1,0,0,0,124.23n=3,68.79n=3,64.64n=3,60.92n=3,3.70n=30,3.34n=18,3.29n=4,3.20n=3,5.11n=6,4.94n=6,5.15n=6
172,🇸🇪,Julia Brovall 236,0,2,0,0,0,124.06n=2,58.84n=2,57.31n=2,67.76n=2,3.60n=20,2.24n=12,2.54n=4,2.80n=2,5.59n=4,5.68n=4,5.84n=4
173,🇵🇱,Marietta Atkins,0,1,0,0,0,123.39n=1,57.85n=1,57.52n=1,66.87n=1,3.06n=10,3.08n=6,2.70n=2,3.10n=1,5.58n=2,5.70n=2,5.62n=2
174,🇹🇼,Tzu-Han Ting 42,0,1,0,0,0,123.14n=1,78.33n=1,64.27n=1,60.87n=1,3.64n=10,3.00n=6,3.18n=2,3.50n=1,5.28n=2,5.18n=2,5.20n=2
175,🇺🇦,Yelizaveta Babenko 208,0,2,0,0,0,123.06n=2,67.45n=2,60.16n=2,63.40n=2,3.56n=20,2.87n=12,2.44n=4,2.50n=2,5.35n=4,5.31n=4,5.35n=4
176,🇫🇷,Maïa Mazzara 191,0,2,0,0,0,122.76n=2,70.22n=2,62.30n=2,63.96n=2,4.00n=20,2.34n=12,2.59n=4,3.05n=2,5.49n=4,5.29n=4,5.38n=4
177,🇸🇪,Lovisa Aav 208,0,2,0,0,0,122.34n=2,64.14n=2,59.82n=2,64.51n=2,3.36n=20,3.00n=12,2.46n=4,3.25n=2,5.40n=4,5.32n=4,5.54n=4
178,🇭🇷,Lena Cusak 276,2,0,0,0,0,122.31n=2,68.52n=2,62.33n=2,62.48n=2,3.71n=20,3.05n=12,3.54n=2,3.40n=2,5.22n=4,5.22n=4,5.10n=4
179,🇭🇺,Léna Ekker 256,2,0,0,0,0,122.02n=2,65.19n=2,60.80n=2,62.22n=2,3.73n=20,2.94n=12,2.34n=2,3.46n=2,5.17n=4,5.20n=4,5.20n=4
